text,label
What are your store hours?,0
Can I return a product I bought online?,1
Where is my order?,2
Do you offer international shipping?,3
How do I contact customer service?,4
What payment methods do you accept?,5
Can I cancel my order?,6
How long does shipping take?,7
Do you offer gift wrapping?,8
Can I change my delivery address?,9
Do you have a physical store?,10
Can I pick up my order in-store?,11
Are there any ongoing sales?,12
Can I get a discount for my first order?,13
What is your warranty policy?,14
Do you offer free returns?,15
How do I reset my password?,16
Can I use multiple promo codes?,17
What is your return window?,18
Can I get a refund?,19
Is my personal data safe?,20
How do I update my account details?,21
Do you ship to PO boxes?,22
How do I track my shipment?,23
Can I request a replacement?,24
How do I cancel my subscription?,25
Can I pre-order new products?,26
How do I redeem a gift card?,27
Do you offer student discounts?,28
Can I track my return shipment?,29
How do I exchange a product?,30
Do you offer bulk discounts?,31
Do you have loyalty programs?,32
Is there a minimum order amount for free shipping?,33
How do I apply a promo code?,34
What shipping carriers do you use?,35
Do you ship internationally?,36
How do I contact your sales team?,37
Can I change my payment method after placing an order?,38
Do you offer expedited shipping?,39
What is the status of my refund?,40
What should I do if I received the wrong item?,41
Do you offer price matching?,42
Can I get an invoice for my purchase?,43
How do I reset my login credentials?,44
What is your policy on damaged goods?,45
Can I request a custom order?,46
How do I delete my account?,47
Can I update my delivery preferences?,48
Do you offer contactless delivery?,49
Are there any COVID-19 shipping delays?,50
Can I use my gift card for online purchases?,51
Can I get a personalized product?,52
How do I subscribe to your newsletter?,53
Do you offer installment payments?,54
What is the status of my pre-order?,55
Can I order from outside the country?,56
Is there a warranty on electronic products?,57
How do I track my in-store pickup?,58
Do you have eco-friendly packaging?,59
Can I pay with PayPal?,60
How do I use a referral code?,61
Can I request a custom product size?,62
What are your Black Friday deals?,63
How do I request a return label?,64
How do I report a technical issue?,65
Do you have a customer loyalty app?,66
Can I split my payment?,67
Do you ship on weekends?,68
How do I update my subscription preferences?,69
Do you offer curbside pickup?,70
Can I request a different delivery date?,71
What happens if my order is lost?,72
How do I track my order once it’s shipped?,73
How do I request a repair for my product?,74
Do you offer warranty on furniture?,75
Can I add items to an existing order?,76
Do you have a store locator?,77
Can I request a same-day delivery?,78
What is your exchange policy?,79
How do I report a missing item?,80
Can I use cryptocurrency for payment?,81
Do you offer digital products?,82
What is your delivery coverage area?,83
How do I leave a product review?,84
Can I request a product demo?,85
Do you offer wholesale prices?,86
Can I request a sample product?,87
What is your policy on hazardous materials?,88
Can I get updates on new products?,89
How do I remove items from my cart?,90
